GWAS	cM_threshold	cluster	CHR	bp_start	bp_stop	cM_start	cM_stop	nSNPs_in_cluster	extended_bp_start	extended_bp_stop
PD_Nalls	0.19	69	15	61696100	61761156	73.6483503923841	73.7126496416961	47	61619238	61802395
PD_Nalls	0.19	70	16	19266171	19268142	38.7077626029636	38.7182239478379	4	19231500	19275827
PD_Nalls	0.19	71	16	28884694	28984436	54.6108405141066	54.6267475246989	23	28282271	29012074
PD_Nalls	0.19	72	16	30790666	31142825	55.8600758305782	55.9198213437117	208	30459437	31271209
PD_Nalls	0.19	73	16	50681274	50721798	61.0107652049412	61.021547741845	15	50658562	50811699
PD_Nalls	0.19	74	16	52502973	52614819	64.5174822051115	64.6190638258538	118	52477868	52614601
PD_Nalls	0.19	75	16	52920042	52956134	65.340893331559	65.3712847256211	25	52910485	53013587
PD_Nalls	0.19	76	17	7449657	7459769	19.4664231136902	19.4709798083768	3	7411759	7654571
PD_Nalls	0.19	77	17	42544897	42635746	68.2323587651979	68.2363258829208	15	42323943	42861778
PD_Nalls	0.19	78	17	44216830	44244764	69.3208750688318	69.3294479731686	23	43944774	44264580
PD_Nalls	0.19	79	17	44352876	44538947	69.7089662802847	69.7416146346968	20	44348438	44559136
PD_Nalls	0.19	80	17	45143918	46830897	70.1726483651397	71.1002465368669	113	44991053	45209989
PD_Nalls	0.19	81	17	61840005	62121769	89.5249960296311	89.5847075829632	92	61573303	62138020
PD_Nalls	0.19	82	17	78412288	78445902	118.023982550624	118.071848325069	77	78346041	78450043
PD_Nalls	0.19	83	18	33724354	33835935	55.1154044803667	55.1431968689877	5	33505050	33919915
PD_Nalls	0.19	84	18	42962447	43360967	62.120588903075	62.2156114790585	216	42892174	43360916
PD_Nalls	0.19	85	18	51159098	51247718	72.0248420163513	72.0410274883269	15	50860388	51261085
PD_Nalls	0.19	86	19	2341049	2358090	7.77185937703663	7.80170053558693	2	2284421	2368100
PD_Nalls	0.19	87	20	3170699	3195096	11.0836440082679	11.1014542930267	24	3108721	3235351
PD_Nalls	0.19	88	20	6006304	6047661	20.5283896429834	20.5340919756972	27	5931617	6082453
PD_Nalls	0.19	89	21	37398228	37551838	42.9705051511048	43.0121881161174	47	37338671	37596101
